"Code","Attribute","Acronym","Attributetype","Class"
1,Agency responsible for production,AGENCY,A,F,None
2,Beacon shape,BCNSHP,E,F,None
3,Building shape,BUISHP,E,F,None
4,Buoy shape,BOYSHP,E,F,None
5,Buried depth,BURDEP,F,F,m
6,Call sign,CALSGN,S,F,None
7,Category of airport/airfield,CATAIR,L,F,None
8,Category of anchorage,CATACH,L,F,None
9,Category of bridge,CATBRG,L,F,None
10,Category of built-up area,CATBUA,E,F,None
11,Category of cable,CATCBL,E,F,None
12,Category of canal,CATCAN,E,F,None
13,Category of cardinal mark,CATCAM,E,F,None
14,Category of checkpoint,CATCHP,E,F,None
15,Category of coastline,CATCOA,E,F,None
16,Category of control point,CATCTR,E,F,None
17,Category of conveyor,CATCON,E,F,None
18,Category of coverage,CATCOV,E,F,None
19,Category of crane,CATCRN,E,F,None
20,Category of dam,CATDAM,E,F,None
21,Category of distance mark,CATDIS,E,F,None
22,Category of dock,CATDOC,E,F,None
23,Category of dumping ground,CATDPG,L,F,None
24,Category of fence/wall,CATFNC,E,F,None
25,Category of ferry,CATFRY,E,F,None
26,Category of fishing  facility,CATFIF,E,F,None
27,Category of fog signal,CATFOG,E,F,None
28,Category of fortified structure,CATFOR,E,F,None
29,Category of gate,CATGAT,E,F,None
30,Category of harbour facility,CATHAF,L,F,None
31,Category of hulk,CATHLK,L,F,None
32,Category of ice,CATICE,E,F,None
33,Category of installation buoy,CATINB,E,F,None
34,Category of land region,CATLND,L,F,None
35,Category of landmark,CATLMK,L,F,None
36,Category of lateral mark,CATLAM,E,F,None
37,Category of light,CATLIT,L,F,None
38,Category of marine farm/culture,CATMFA,E,F,None
39,Category of military practice area,CATMPA,L,F,None
40,Category of mooring/warping facility,CATMOR,E,F,None
41,Category of navigation line,CATNAV,E,F,None
42,Category of obstruction,CATOBS,E,F,None
43,Category of offshore platform,CATOFP,L,F,None
44,Category of oil barrier,CATOLB,E,F,None
45,Category of pile,CATPLE,E,F,None
46,Category of pilot boarding place,CATPIL,E,F,None
47,Category of pipeline / pipe,CATPIP,L,F,None
48,Category of production area,CATPRA,E,F,None
49,Category of pylon,CATPYL,E,F,None
50,Category of quality of data,CATQUA,E,F,None
51,Category of radar station,CATRAS,E,F,None
52,Category of radar transponder beacon,CATRTB,E,F,None
53,Category of radio station,CATROS,L,F,None
54,Category of recommended track,CATTRK,E,F,None
55,Category of rescue station,CATRSC,L,F,None
56,Category of restricted area,CATREA,L,F,None
57,Category of road,CATROD,E,F,None
58,Category of runway,CATRUN,E,F,None
59,Category of sea area,CATSEA,E,F,None
60,Category of shoreline construction,CATSLC,E,F,None
61,"Category of signal station, traffic",CATSIT,L,F,None
62,"Category of signal station, warning",CATSIW,L,F,None
63,Category of silo/tank,CATSIL,E,F,None
64,Category of slope,CATSLO,E,F,None
65,Category of small craft facility,CATSCF,L,F,None
66,Category of special purpose mark,CATSPM,L,F,None
67,Category of Traffic Separation Scheme,CATTSS,E,F,None
68,Category of vegetation,CATVEG,L,F,None
69,Category of water turbulence,CATWAT,E,F,None
70,Category of weed/kelp,CATWED,E,F,None
71,Category of wreck,CATWRK,E,F,None
72,Category of zone of confidence data,CATZOC,E,F,None
73,Character spacing,$SPACE,E,$,None
74,Character specification,$CHARS,A,$,None
75,Colour,COLOUR,L,F,None
76,Colour pattern,COLPAT,L,F,None
77,Communication channel,COMCHA,A,F,None
78,Compass size,$CSIZE,F,$,mm
79,Compilation date,CPDATE,A,F,None
80,Compilation scale,CSCALE,I,F,None
81,Condition,CONDTN,E,F,None
82,"Conspicuous, Radar",CONRAD,E,F,None
83,"Conspicuous, visual",CONVIS,E,F,None
84,Current velocity,CURVEL,F,F,kt
85,Date end,DATEND,A,F,None
86,Date start,DATSTA,A,F,None
87,Depth range value 1,DRVAL1,F,F,m
88,Depth range value 2,DRVAL2,F,F,m
89,Depth units,DUNITS,E,F,None
90,Elevation,ELEVAT,F,F,m
91,Estimated range of transmission,ESTRNG,F,F,NM
92,Exhibition condition of light,EXCLIT,E,F,None
93,Exposition of sounding,EXPSOU,E,F,None
94,Function,FUNCTN,L,F,None
95,Height,HEIGHT,F,F,m
96,Height/length units,HUNITS,E,F,None
97,Horizontal accuracy,HORACC,F,F,m
98,Horizontal clearance,HORCLR,F,F,m
99,Horizontal length,HORLEN,F,F,m
100,Horizontal width,HORWID,F,F,m
101,Ice factor,ICEFAC,F,F,m
102,Information,INFORM,S,F,None
103,Jurisdiction,JRSDTN,E,F,None
104,Justification - horizontal,$JUSTH,E,$,None
105,Justification - vertical,$JUSTV,E,$,None
106,Lifting capacity,LIFCAP,F,F,t
107,Light characteristic,LITCHR,E,F,None
108,Light visibility,LITVIS,L,F,None
109,Marks navigational - System of,MARSYS,E,F,None
110,Multiplicity of lights,MLTYLT,I,F,None
111,Nationality,NATION,A,F,None
112,Nature of construction,NATCON,L,F,None
113,Nature of surface,NATSUR,L,F,None
114,Nature of surface - qualifying terms,NATQUA,L,F,None
115,Notice to Mariners date,NMDATE,A,F,None
116,Object name,OBJNAM,S,F,None
117,Orientation,ORIENT,F,F,deg
118,Periodic date end,PEREND,A,F,None
119,Periodic date start,PERSTA,A,F,None
120,Pictorial representation,PICREP,S,F,None
121,Pilot district,PILDST,S,F,None
122,Producing country,PRCTRY,A,F,None
123,Product,PRODCT,L,F,None
124,Publication reference,PUBREF,S,F,None
125,Quality of sounding measurement,QUASOU,L,F,None
126,Radar wave length,RADWAL,A,F,None
127,Radius,RADIUS,F,F,m
128,Recording date,RECDAT,A,F,None
129,Recording indication,RECIND,A,F,None
130,Reference year for magnetic variation,RYRMGV,A,F,None
131,Restriction,RESTRN,L,F,None
132,Scale maximum,SCAMAX,I,F,None
133,Scale minimum,SCAMIN,I,F,None
134,Scale value one,SCVAL1,I,F,None
135,Scale value two,SCVAL2,I,F,None
136,Sector limit one,SECTR1,F,F,deg
137,Sector limit two,SECTR2,F,F,deg
138,Shift parameters,SHIPAM,A,F,None
139,Signal frequency,SIGFRQ,I,F,Hz
